Buy,Current_Price,Hold,No of Securities,Profit or Loss,ROI,Sell,Time taken,Total ROI,Volatility,Trend
0,103.95,0,90,39.5,0.0,10,1701376079.9912817,4.222115333226445e-05,False,down
10,104.88,0,100,0.0,0.488,0,1701376088.210105,3.766209000762777e-05,False,down
0,101.29,100,100,0.0,0.0,0,1701376094.092589,3.899693948069898e-05,False,down
0,94.47,100,100,0.0,0.0,0,1701376098.7012618,4.1812215518153907e-05,False,down
0,93.14,100,100,0.0,0.0,0,1701376103.3939316,4.24092763581705e-05,False,down
0,94.1,100,100,0.0,0.0,0,1701376109.6660166,4.197662061636557e-05,False,down
0,99.62,100,100,0.0,0.0,0,1701376114.448897,3.9650672555711706e-05,False,down
0,99.52,100,100,0.0,0.0,0,1701376119.6592286,3.9690514469453375e-05,False,down
0,100.69,100,100,0.0,0.0,0,1701376124.4515686,3.922931770781607e-05,False,down
0,101.2,100,100,0.0,0.0,0,1701376130.1391017,3.903162055335968e-05,False,down
0,97.18,100,100,0.0,0.0,0,1701376135.5601823,4.064622350277835e-05,False,down
0,92.79,100,100,0.0,0.0,0,1701376141.1617148,4.256924237525595e-05,False,down
