Period,Base Price
1,100
2,103.3884949
3,111.5445232
4,105.2009456
5,110.0866824
6,109.8502758
7,109.0622537
8,106.3435776
9,103.5066982
10,102.9156816
11,98.66036249
12,106.8951931
13,106.7375887
14,108.2348306
15,106.3435776
16,104.4129236
17,106.3435776
18,109.7714736
19,100.2758077
20,98.50275808
21,97.91174153
22,99.17257683
23,98.26635146
24,105.2403467
25,106.0283688
26,104.4917258
27,108.4318361
28,118.0063042
29,113.5145784
30,110.3624901
31,111.3081166
32,111.5839243
33,112.8053586
34,113.5539795
35,112.4113475
36,111.9385343
37,108.6682427
38,105.8313633
39,105.1615445
40,104.0977147
41,108.1954295
42,107.6832151
43,113.2387707
44,109.535067
45,109.1410559
46,107.643814
47,108.7470449
48,109.6138692
49,108.7076438
50,106.3435776
51,108.0378251
52,107.2892041
53,107.8408195
54,107.643814
55,106.7375887
56,106.3829787
57,113.5145784
58,109.1804571
59,108.6682427
60,108.8652482
61,108.5500394
62,104.570528
63,106.7375887
64,106.2253743
65,106.855792
66,103.6643026
67,104.5311269
68,104.3735225
69,101.142632
70,103.5066982
71,103.3490938
72,108.4712372
73,107.2104019
74,111.0323089
75,120.5673759
76,126.319937
77,124.1922774
78,123.3648542
79,121.9070134
80,118.0063042
81,117.178881
82,122.537431
83,125.8865248
84,116.7454689
85,117.4940898
86,120.212766
87,119.3065406
88,118.715524
89,114.1843972
90,109.1804571
91,110.1654846
92,116.3120567
93,115.248227
94,110.7565012
95,112.4113475
96,110.8353034
97,110.7959023
98,109.0622537
99,106.6587864
100,99.72419228
101,95.82348306
102,101.3790386
103,104.8069346
104,100.7092199
105,96.66666667
106,95.33490938
107,92.82899921
108,98.15602837
109,108.2742317
110,103.6564224
111,109.0228526
112,105.5555556
113,99.90543735
114,101.8518519
115,97.69897557
116,96.05200946
117,91.15051221
118,93.75886525
119,86.3356974
120,82.92356186
121,78.71552403
122,76.24901497
123,80.61465721
124,89.55870764
125,71.9858156
126,79.15681639
127,71.31599685
128,78.44759653
129,71.23719464
130,74.50748621
131,77.93538219
132,76.51694247
133,74.23167849
134,73.71946414
135,73.71946414
136,74.23167849
137,74.428684
138,77.77777778
139,72.85263987
140,73.04964539
141,74.82269504
142,78.13238771
143,75.571316
144,72.14342002
145,70.6855792
146,74.19227738
147,69.73995272
148,69.97635934
149,70.88258471
150,70.80378251
151,72.65563436
152,71.07959023
153,70.13396375
154,69.464145
155,71.19779354
156,72.65563436
157,70.84318361
158,70.37037037
159,68.20330969
160,75.6107171
161,79.47202522
162,83.05752561
163,87.58865248
164,83.33333333
165,86.95823483
166,87.15524035
167,86.40661939
168,85.26398739
169,90.66193853
170,88.49487786
171,90.07092199
172,91.60756501
173,89.75571316
174,86.32781718
175,88.65248227
176,85.4215918
177,90.1891253
178,87.8644602
179,85.81560284
180,88.9676911
181,83.09692671
182,79.03861308
183,77.85657998
184,79.74783294
185,81.7572892
186,78.48699764
187,75.53191489
188,73.95587076
189,72.30102443
190,74.46808511
191,70.48857368
192,67.88810087
193,75.25610717
194,76.24113475
195,68.91252955
196,66.36721828
197,68.51851852
198,72.37982664
199,72.02521671
200,75.76832151
201,77.81717888
202,75.13790386
203,77.26556344
204,76.47754137
205,82.70291568
206,80.61465721
207,75.21670607
208,80.41765169
209,79.62962963
210,90.34672971
211,78.56579984
212,72.45862884
213,76.55634358
214,74.78329393
215,71.23719464
216,72.61623325
217,73.83766745
218,70.13396375
219,76.20173365
220,81.76516942
221,67.13947991
222,72.65563436
223,68.59732072
224,74.86209614
225,75.68951931
226,76.91095351
227,78.44759653
228,79.19621749
229,71.59180457
230,67.21828211
231,72.73443656
232,74.60204886
233,71.82033097
234,69.93695823
235,72.23798266
236,73.71158392
237,64.428684
238,70.02364066
239,71.4499606
240,76.77698976
